timestamp,sender,receiver,message_type,message
2026-08-02 23:53:47,rashmi,shahan,private,hello
2026-08-02 23:53:49,rashmi,ALL,broadcast,dasfd
2026-08-02 23:53:49,rashmi,ALL,broadcast,das
2026-08-02 23:53:50,rashmi,ALL,broadcast,dsafdsf
2026-08-02 23:53:50,rashmi,ALL,broadcast,dsf
2026-08-02 23:53:50,rashmi,ALL,broadcast,dsf
2026-08-02 23:53:50,rashmi,ALL,broadcast,sd
2026-08-02 23:53:51,rashmi,ALL,broadcast,sdfv
2026-08-02 23:53:51,rashmi,ALL,broadcast,dsgv
2026-08-02 23:53:51,rashmi,ALL,broadcast,sdf
2026-08-02 23:53:51,rashmi,ALL,broadcast,v
2026-08-02 23:53:51,rashmi,ALL,broadcast,fd
2026-08-02 23:53:52,rashmi,ALL,broadcast,ggf
2026-08-02 23:53:52,rashmi,ALL,broadcast,bgfhn
2026-08-02 23:53:52,rashmi,ALL,broadcast,hn
2026-08-02 23:53:52,rashmi,ALL,broadcast,h
2026-08-02 23:53:53,rashmi,ALL,broadcast,nf
2026-08-02 23:53:53,rashmi,ALL,broadcast,h
2026-08-02 23:53:53,rashmi,ALL,broadcast,d
2026-08-02 23:53:53,rashmi,ALL,broadcast,df
2026-08-02 23:53:54,rashmi,ALL,broadcast,gfsd
2026-08-02 23:53:54,rashmi,ALL,broadcast,g
2026-08-02 23:53:54,rashmi,ALL,broadcast,fs
2026-08-02 23:53:54,rashmi,ALL,broadcast,gdf
2026-08-02 23:53:54,rashmi,ALL,broadcast,g
2026-08-02 23:53:55,rashmi,ALL,broadcast,dfg
2026-08-02 23:53:55,rashmi,ALL,broadcast,dgh
2026-08-02 23:53:55,rashmi,ALL,broadcast,dg
2026-08-02 23:53:55,rashmi,ALL,broadcast,h
2026-08-02 23:53:55,rashmi,ALL,broadcast,g
2026-08-02 23:53:55,rashmi,ALL,broadcast,h
2026-08-02 23:53:56,rashmi,ALL,broadcast,gf
2026-08-02 23:53:56,rashmi,ALL,broadcast,hd
2026-08-02 23:53:56,rashmi,ALL,broadcast,d
2026-08-02 23:53:57,rashmi,ALL,broadcast,gfd
2026-08-02 23:53:57,rashmi,ALL,broadcast,d
2026-08-02 23:53:57,rashmi,ALL,broadcast,b
2026-08-02 23:53:57,rashmi,ALL,broadcast,fd
2026-08-02 23:53:57,rashmi,ALL,broadcast,df
2026-08-03 00:04:30,a,ALL,broadcast,hi
2026-08-03 00:04:46,a,ALL,broadcast,f
2026-08-03 00:04:47,a,ALL,broadcast,d
2026-08-03 00:04:48,a,ALL,broadcast,f
2026-08-03 00:04:49,a,ALL,broadcast,g
2026-08-03 00:04:49,a,ALL,broadcast,fd
2026-08-03 00:04:49,a,ALL,broadcast,fd
2026-08-03 00:04:50,a,ALL,broadcast,r
2026-08-03 00:04:50,a,ALL,broadcast,r
2026-08-03 00:04:51,a,ALL,broadcast,t
2026-08-03 00:04:51,a,ALL,broadcast,g
2026-08-03 00:04:52,a,ALL,broadcast,v
2026-08-03 00:04:52,a,ALL,broadcast,f
2026-08-03 00:04:53,a,ALL,broadcast,f
2026-08-03 00:04:57,a,ALL,broadcast,d
2026-08-03 00:04:57,a,ALL,broadcast,f
2026-08-03 00:04:58,a,ALL,broadcast,g
2026-08-03 00:04:58,a,ALL,broadcast,g
2026-08-03 00:04:59,a,ALL,broadcast,t
2026-08-03 00:04:59,a,ALL,broadcast,f
2026-08-03 00:05:00,a,ALL,broadcast,d
2026-08-03 00:05:01,a,ALL,broadcast,e
2026-08-03 00:05:01,a,ALL,broadcast,fr
2026-08-03 00:05:02,a,ALL,broadcast,t
2026-08-03 00:05:03,a,ALL,broadcast,t
2026-08-03 00:05:03,a,ALL,broadcast,h
2026-08-03 00:05:03,a,ALL,broadcast,g
2026-08-03 00:05:04,a,ALL,broadcast,f
2026-08-03 00:05:04,a,ALL,broadcast,d
2026-08-03 00:05:05,a,ALL,broadcast,d
2026-08-03 00:05:05,a,ALL,broadcast,e
2026-08-03 00:05:06,a,ALL,broadcast,d
2026-08-03 00:05:09,a,ALL,broadcast,fd
2026-08-03 00:05:09,a,ALL,broadcast,d
2026-08-03 00:05:10,a,ALL,broadcast,d
2026-08-03 00:05:10,a,ALL,broadcast,d
2026-08-03 00:05:11,a,ALL,broadcast,d
2026-08-03 00:05:12,a,ALL,broadcast,d
2026-08-03 00:05:25,c,ALL,broadcast,s
2026-08-03 00:05:26,c,ALL,broadcast,d
2026-08-03 00:05:26,c,ALL,broadcast,f
2026-08-03 00:05:27,c,ALL,broadcast,f
2026-08-03 00:05:28,a,ALL,broadcast,sd
2026-08-03 00:05:29,a,ALL,broadcast,d
2026-08-03 00:05:29,a,ALL,broadcast,d
2026-08-03 00:05:30,a,ALL,broadcast,f
2026-08-03 00:05:30,a,ALL,broadcast,f
2026-08-03 00:05:30,a,ALL,broadcast,g
2026-08-03 00:05:31,a,ALL,broadcast,g
2026-08-03 00:05:31,a,ALL,broadcast,r
2026-08-03 00:05:32,a,ALL,broadcast,re
2026-08-03 00:05:32,a,ALL,broadcast,ew
2026-08-03 00:05:32,a,ALL,broadcast,w
2026-08-03 00:05:33,a,ALL,broadcast,w
2026-08-03 00:05:44,a,c,private,gg
2026-08-03 00:07:45,A,ALL,broadcast,1
2026-08-03 00:07:45,A,ALL,broadcast,2
2026-08-03 00:07:46,A,ALL,broadcast,3
2026-08-03 00:07:46,A,ALL,broadcast,4
2026-08-03 00:07:47,A,ALL,broadcast,5
2026-08-03 00:07:48,A,ALL,broadcast,6
2026-08-03 00:07:48,A,ALL,broadcast,7
2026-08-03 00:07:49,A,ALL,broadcast,8
2026-08-03 00:07:49,A,ALL,broadcast,9
2026-08-03 00:07:52,A,ALL,broadcast,10
2026-08-03 00:08:36,A,B,private,11
2026-08-03 00:08:52,A,B,private,13
2026-08-03 00:09:06,A,B,private,12
2026-08-03 00:09:20,A,C,private,14
2026-08-03 00:09:27,A,C,private,15
2026-08-03 00:09:34,A,C,private,16
2026-08-03 00:09:43,A,D,private,17
2026-08-03 00:09:50,A,D,private,18
2026-08-03 00:10:01,A,D,private,19
2026-08-03 00:10:04,A,ALL,broadcast,20
2026-08-03 00:10:07,A,ALL,broadcast,21
2026-08-03 00:10:09,A,ALL,broadcast,22
2026-08-03 00:10:09,A,ALL,broadcast,23
2026-08-03 00:10:10,A,ALL,broadcast,24
2026-08-03 00:10:11,A,ALL,broadcast,25
2026-08-03 00:10:20,B,A,private,1
2026-08-03 00:10:26,B,A,private,2
2026-08-03 00:10:33,B,C,private,3
2026-08-03 00:10:38,B,C,private,4
2026-08-03 00:11:00,B,C,private,5
2026-08-03 00:11:07,B,D,private,6
2026-08-03 00:11:18,B,D,private,7
2026-08-03 00:11:31,B,D,private,8
2026-08-03 00:11:43,B,D,private,9
2026-08-03 00:11:45,B,ALL,broadcast,10
2026-08-03 00:11:45,B,ALL,broadcast,11
2026-08-03 00:11:47,B,ALL,broadcast,12
2026-08-03 00:11:49,B,ALL,broadcast,13
2026-08-03 00:11:50,B,ALL,broadcast,15
2026-08-03 00:11:52,B,ALL,broadcast,16
2026-08-03 00:11:53,B,ALL,broadcast,17
2026-08-03 00:11:54,B,ALL,broadcast,28
2026-08-03 00:11:55,B,ALL,broadcast,29
2026-08-03 00:11:58,B,ALL,broadcast,20
2026-08-03 00:12:09,C,D,private,11
2026-08-03 00:12:16,C,D,private,10
2026-08-03 00:12:17,C,ALL,broadcast,s
2026-08-03 00:12:18,C,ALL,broadcast,2
2026-08-03 00:12:19,C,ALL,broadcast,3
2026-08-03 00:12:19,C,ALL,broadcast,4
2026-08-03 00:12:20,C,ALL,broadcast,5
2026-08-03 00:12:20,C,ALL,broadcast,6
2026-08-03 00:12:21,C,ALL,broadcast,7
2026-08-03 00:12:21,C,ALL,broadcast,8
2026-08-03 00:12:21,C,ALL,broadcast,90
2026-08-03 00:12:34,C,B,private,111
2026-08-03 00:12:39,D,ALL,broadcast,0
2026-08-03 00:12:40,D,ALL,broadcast,9
2026-08-03 00:12:40,D,ALL,broadcast,8
2026-08-03 00:12:41,D,ALL,broadcast,7
2026-08-03 00:12:41,D,ALL,broadcast,6
2026-08-03 00:12:42,D,ALL,broadcast,5
2026-08-03 00:12:42,D,ALL,broadcast,43
2026-08-03 00:12:43,D,ALL,broadcast,2
2026-08-03 00:12:43,D,ALL,broadcast,1
2026-08-03 00:12:51,D,C,private,kk
2026-08-03 00:13:06,D,A,private,10009
2026-08-03 00:13:07,D,ALL,broadcast,d
2026-08-03 00:13:07,D,ALL,broadcast,ds
2026-08-03 00:13:07,D,ALL,broadcast,f
2026-08-03 00:13:07,D,ALL,broadcast,d
2026-08-03 00:13:08,D,ALL,broadcast,d
2026-08-03 00:13:08,D,ALL,broadcast,d
2026-08-03 00:13:08,D,ALL,broadcast,d
2026-08-03 00:13:08,D,ALL,broadcast,fg
2026-08-03 00:13:09,D,ALL,broadcast,g
2026-08-03 00:13:09,D,ALL,broadcast,h
2026-08-03 00:13:09,D,ALL,broadcast,g
2026-08-03 00:13:09,D,ALL,broadcast,df
2026-08-03 00:13:10,D,ALL,broadcast,d
